Year,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P% Assisted,3P% Assistedd,,%3PA Corner,3P% Corner,,eFG%,3PAr,TS%,3PM,3PA,3P%
League Average 2019,34,6820,0.424,13.3,,0.46,0.617,0.402,0.392,0.358,0.338,,0.583,0.86,,0.146,0.361,,0.474,0.292,0.517,6.8,20,0.338
League Average 2020,22,4421,0.446,13.7,,0.492,0.732,0.48,0.364,0.395,0.345,,0.555,0.857,,0.112,0.379,,0.5,0.31,0.544,7.3,21.2,0.345
League Average 2021,32,6455,0.435,13.4,,0.475,0.633,0.435,0.376,0.37,0.343,,0.564,0.856,,0.153,0.379,,0.488,0.309,0.531,7.3,21.2,0.343
League Average 2022,36,7251,0.442,13.5,,0.489,0.656,0.428,0.401,0.353,0.346,,0.602,0.878,,0.175,0.372,,0.499,0.329,0.541,7.7,22.4,0.346
League Average 2023,40,8041,0.441,13.2,,0.486,0.657,0.433,0.39,0.356,0.347,,0.586,0.873,,0.189,0.378,,0.497,0.323,0.541,7.7,22.1,0.347
League Average 2024,40,8041,0.438,13.3,,0.488,0.654,0.432,0.386,0.379,0.338,,0.62,0.876,,0.19,0.356,,0.495,0.335,0.536,7.7,22.8,0.338
League Average 2025,44,8823,0.439,13.5,,0.496,0.66,0.443,0.401,0.387,0.338,,0.614,0.88,,0.197,0.363,,0.5,0.36,0.542,8.2,24.2,0.338
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,